pre,post,synapses,types
ALML,AVDR,2,"chemical,electrical"
ALML,AVM,2,"chemical,electrical"
ALML,PVCL,10,chemical
ALMR,AVDL,3,"chemical,electrical"
ALMR,AVDR,3,"chemical,electrical"
ALMR,AVM,1,electrical
ALMR,PVCR,7,chemical
AVAL,AVAR,1,electrical
AVBL,AVBR,1,electrical
AVBL,DVA,3,electrical
AVDR,AVM,1,electrical
AVM,ALML,2,chemical
AVM,AVBL,6,chemical
AVM,AVBR,7,chemical
AVM,AVDR,1,chemical
AVM,PVCL,11,chemical
AVM,PVCR,5,chemical
DVA,AVAL,1,chemical
DVA,AVAR,2,chemical
DVA,AVBR,1,chemical
DVA,AVDL,1,chemical
DVA,PVCL,1,chemical
DVA,PVCR,1,chemical
PVCL,AVAL,2,chemical
PVCL,AVAR,1,chemical
PVCL,AVBL,5,chemical
PVCL,AVBR,9,chemical
PVCL,AVDL,1,chemical
PVCL,AVDR,4,chemical
PVCL,PVCR,1,chemical
PVCR,AVAL,1,chemical
PVCR,AVAR,4,chemical
PVCR,AVBL,11,chemical
PVCR,AVBR,8,chemical
PVCR,AVDL,6,chemical
PVCR,AVDR,1,chemical
